"","project","cell_specimen_id","cell_specimen_name","hemisphere","structure","donor_id","donor_name","biological_sex","age","ethnicity","medical_conditions","full_genotype","dendrite_type","apical_dendrite_status","neuron_reconstruction_type","cell_soma_normalized_depth","depth_from_pia_um","ephys_session_id","transcriptomics_sample_id","transcriptomics_batch","corresponding_AIT2.3.1_ID","corresponding_AIT2.3.1_alias","subclass"
"2445","mIVSCC-MET",754508194,"Pvalb-IRES-Cre;Ai14-413266.04.02.02","right","VISp6a",413266,"Pvalb-IRES-Cre;Ai14-413266","M","P59",NA,NA,"Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.802834151513564,NA,754508179,"SM.GE8XF_S057_E1.50","RSC-178","CS180626100055","Pvalb Sema3e Kank4","Pvalb"
"2446","mIVSCC-MET",754514136,"Pvalb-IRES-Cre;Ai14-413266.04.02.03","right","VISpm5",413266,"Pvalb-IRES-Cre;Ai14-413266","M","P59",NA,NA,"Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,754514121,"SM.GE8XF_S058_E1.50","RSC-178","CS180626100059","Pvalb Tpbg","Pvalb"
"2447","mIVSCC-MET",754514166,"Pvalb-IRES-Cre;Ai14-413266.05.01.01","left","VISp2/3",413266,"Pvalb-IRES-Cre;Ai14-413266","M","P59",NA,NA,"Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,754514151,"SM.GE8XF_S054_E1.50","RSC-178","CS180626100058","Pvalb Reln Itm2a","Pvalb"
"2448","mIVSCC-MET",754527431,"Vip-IRES-Cre;Npy-IRES2-FlpO;Ai65-413064.03.01.01","left","VISp5",413064,"Vip-IRES-Cre;Npy-IRES2-FlpO;Ai65-413064","M","P60",NA,NA,"Vip-IRES-Cre/wt;Npy-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt","aspiny",NA,"",NA,NA,754527416,"SM.GE8XF_S062_E1.50","RSC-178","CS180626100026","Vip Pygm C1ql1","Vip"
"2449","mIVSCC-MET",754527842,"Pvalb-IRES-Cre;Ai14-413266.03.02.01","right","VISp5",413266,"Pvalb-IRES-Cre;Ai14-413266","M","P59",NA,NA,"Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,754527827,"SM.GE8XF_S059_E1.50","RSC-178","CS180626100059","Pvalb Tpbg","Pvalb"
"2450","mIVSCC-MET",754528922,"Pvalb-IRES-Cre;Ai14-413266.03.02.02","right","VISp4",413266,"Pvalb-IRES-Cre;Ai14-413266","M","P59",NA,NA,"Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,754528907,"SM.GE8XF_S060_E1.50","RSC-178","CS180626100058","Pvalb Reln Itm2a","Pvalb"
"2451","mIVSCC-MET",754549487,"Sst-IRES-Cre;Ai167-415614.06.01.02","left","VISpm6a",415614,"Sst-IRES-Cre;Ai167-415614","M","P45",NA,NA,"Sst-IRES-Cre/wt;Ai167(TIT2L-ChrimsonR-tdT-ICL-tTA2)/wt","aspiny",NA,"",NA,NA,754549472,"SM.GE8XF_S067_E1.50","RSC-178","CS180626100037","Sst Myh8 Etv1 ","Sst"
"2452","mIVSCC-MET",754697892,"Sst-IRES-Cre;Ai14-414132.04.01.01","left","VISpm6a",414132,"Sst-IRES-Cre;Ai14-414132","F","P55",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,754697708,"SM.GE8XF_S069_E1.50","RSC-178","CS180626100049","Sst Rxfp1 Prdm8","Sst"
"2453","mIVSCC-MET",754711439,"Sst-IRES-Cre;Ai14-414132.04.01.02","left","VISp6a",414132,"Sst-IRES-Cre;Ai14-414132","F","P55",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,754711305,"SM.GE8XF_S070_E1.50","RSC-178","CS180626100047","Sst Tac2 Tacstd2","Sst"
"2454","mIVSCC-MET",754729595,"Sst-IRES-Cre;Ai14-414132.04.01.03","left","VISp6a",414132,"Sst-IRES-Cre;Ai14-414132","F","P55",NA,NA,"Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,NA,754729462,"SM.GE8XF_S071_E1.50","RSC-178","CS180626100047","Sst Tac2 Tacstd2","Sst"
